,iso_name,gen_pw_label,station_code,distance_mi
16021,MISO,WISHEK WISHEK_1_UNIT,KBIS,65.2971918625778
7462,MISO,WOLFWIND WOLFWI_1_UNIT,KFSD,48.8123867050092
12338,MISO,WOODSTK WOODST_1_UNIT,KFSD,45.1354891207583
6218,MISO,WORT TOI_MGEO_UNIT,KMSP,98.8663248097012
6430,MISO,WORT TOI_MGEP_UNIT,KMSP,98.7283421364158
6112,MISO,WORT TOI_PH23_UNIT,KMSP,98.5903596608344
6324,MISO,WORT TOPIAW_UNIT,KMSP,98.4523773839897
12126,MISO,WPIPSTNW WPIPST_1_UNIT,KFSD,36.3262596940101
13292,MISO,W_TRIDGE W_TRID_1_UNIT,KFSD,48.0880905814594
14140,MISO,YANKEE CWN_1_UNIT,KFSD,52.9144794080821
14352,MISO,YANKEE MNDAK_1_UNIT,KFSD,53.0461740977597
14246,MISO,YANKEE MNDAK_2_UNIT,KFSD,53.1779012847189
14034,MISO,YANKEE YKN_NIPS_UNIT,KFSD,53.3096607284367
